"University of Tennessee, Knoxville",Education (Higher),67%,TN,7/14/2005
University of Utah,Education (Higher),49%,UT,12/5/2019
University of Vermont,Education (Higher),101%,VT,3/24/2017
University of Virginia,Education (Higher),18%,VA,11/14/2018
University of Wisconsin,Education (Higher),9%,WI,4/4/2011
University of Wisconsin - Stevens Point,Education (Higher),100%,WI,12/18/2014
Urban Chestnut Brewing Company,Wineries & Breweries,99%,MO,3/1/2017
Urban Ecology Center / Riverside Park,"Museums, Parks & Zoos",150%,WI,10/5/2004
"USA Softball, Inc.",Sports Teams & Venues,101%,OK,5/19/2015
UW Credit Union,Banking & Fin. Srvcs.,122%,WI,3/30/2011
Vegetarian House,Restaurants & Cafes,100%,CA,11/10/2014
Vermont Coffee Company,Food & Beverage,100%,VT,6/12/2018
Vermont Law School,Education (Higher),59%,VT,4/26/2017
VIA Metropolitan Transit,Transportation,40%,TX,1/18/2013
"Viceroy Hotel / Central Park, New York",Hotels & Lodging,100%,NY,2/24/2016
Victor Valley Wastewater Reclamation Authority,"Govt. (Local, Municipal)",61%,CA,2/26/2015
"Village of Nyack, NY","Govt. (Local, Municipal)",100%,NY,5/13/2019
Villanti Printers,Printing & Packaging,100%,VT,7/29/2009
"VMware, Inc.",Technology & Telecom,31%,CA,3/8/2016
"Volkswagen Group of America Chattanooga Operations, LLC",Automotive,12%,TN,1/9/2013
Vosges Haut-Chocolat / Headquarters,Food & Beverage,100%,IL,2/7/2019
Voya Financial,Banking & Fin. Srvcs.,120%,CT,9/24/2007
vXchnge,Technology & Telecom,12%,FL,7/1/2016
Walmart Inc.,Retail,5%,AR,4/7/2009
Washington Suburban Sanitary Commission,"Govt. (Local, Municipal)",100%,MD,4/28/2006
Weber State University,Education (Higher),29%,UT,8/15/2007
Webster Groves School District,Education (K-12),38%,MO,10/2/2017
Wellesley College,Education (Higher),5%,MA,5/22/2012
Wells College,Education (Higher),100%,NY,1/17/2018
Wells Fargo,Banking & Fin. Srvcs.,105%,CA,10/29/2018
Welltower / Medical Office Buildings,Real Estate,18%,OH,1/11/2018
Wentworth Institute of Technology,Education (Higher),10%,MA,1/8/2018
West Chester University,Education (Higher),63%,PA,12/20/2018
Western Pennsylvania Energy Consortium,"Govt. (Local, Municipal)",35%,PA,5/11/2009
Westminster College,Education (Higher),9%,UT,6/19/2006
"Whatcom County, WA","Govt. (Local, Municipal)",100%,WA,11/30/2006
Wheatsville Food Co-op,Retail,44%,TX,3/15/2004
Whirlpool Corporation,Consumer Products,8%,MI,3/15/2019
White Rock Coffee,Restaurants & Cafes,100%,TX,7/29/2004
Whitman College,Education (Higher),132%,WA,8/30/2006
Widmer Brothers Brewing,Wineries & Breweries,16%,OR,11/7/2014
Wild Joe*s Coffee Spot,Restaurants & Cafes,91%,MT,9/29/2017
Wilson Sonsini Goodrich & Rosati,Legal Services,51%,CA,3/25/2008
Windham Professionals Inc,Banking & Fin. Srvcs.,100%,NH,10/31/2009
Witherspoon Distillery,Wineries & Breweries,100%,TX,10/5/2015
Wolf Creek Ski Area,Recreation,112%,CO,9/5/2013
Workday,Technology & Telecom,100%,CA,8/28/2009
"World Hunger Relief, Inc.",Non-Profit (NGO),100%,TX,9/7/2017
World Resources Company,Consulting Srvcs.,116%,PA,4/2/2008
"World Wide Technology Holding Company, Inc",Technology & Telecom,67%,MO,9/24/2015
"World Wildlife Fund / Washington, DC Headquarters",Non-Profit (NGO),100%,DC,11/27/2012
"Wyndham Worldwide / Parsippany, NJ Campus",Hotels & Lodging,100%,NJ,8/5/2009
Wynn Las Vegas,Hotels & Lodging,25%,NV,10/5/2018
Xanterra Parks & Resorts,Recreation,23%,CO,2/11/2005
Xilinx / Headquarters Campus,Technology & Telecom,17%,CA,11/16/2005
XMission Internet,Technology & Telecom,100%,UT,8/2/2007
"Yolo County, CA","Govt. (Local, Municipal)",106%,CA,7/13/2007
York Hospital,Health Care,10%,ME,1/17/2013
Zayo Group LLC,Technology & Telecom,28%,CO,4/17/2017
Zimmer Biomet / Headquarters,Health Care,100%,IN,8/19/2016
Zotos International,Consumer Products,16%,NY,1/19/2011
Zumbiel Packaging,Printing & Packaging,10%,KY,6/10/2013
